category,subject,statement,date_as_written,date_iso,citation,verbatim_quotation
money,Mr. [[Annis?]]; Clapp ranch; church organ,Clapp ranch bought for $1500; $35 subscribed and $50 from Mr. Bard for a new church organ,,,05-050-P01,"Mr. [[Annis?]] has bought the Clapp ranch over the mountains. Payed $1500. When Mr. [[Clapp?]] left, he sold the church organ—So Kate Burdick Wheeler & Mary Yeager, set to work to raise money to buy another. They succeeded in getting $35 subscribed & Mr. Bard, who owns so much land here, sent a check for $50"
church,Mr. Pickering; Holiness sermon,Bible study proposal; Holiness sermon on sanctification and quitting tobacco,,,05-051-P01,"Mr. Pickering, our Supt and the only one in the School, who knows anything about the Bible, suggested, that we older ones get together once a week, and study by subjects ... Last sunday we had a Holiness sermon ... the crowning point of his being sanctified was quitting tobacco."
church,Mrs. [[Wigart?]],Does not think water baptism essential; expects the spirit as a dove,,,05-053-P01,"she doesn't think water baptism, at all, essential to salvation; but still she thinks perhaps, sometime, she will be immersed—adding, she always had an idea if she ever did, the spirit would descend on her, in the shape of a dove"
person,Fannie,Slip: part of a letter from Fannie mentioning Lizzie & Laura; page 4 mentions Johnson Co. and [[Evan?]],,,05-054-P01; 05-056-P02; 05-056-P05,Part of letter – / Mentions / Lizzie & Laura / from Fannie ... one of the prettiest looking [[little?]] [[fellows?]] that left Johnson Co. ... I must to write a letter to [[Evan?]] to night.
person,"Mollie (Woodbury, Tenn.)","Envelope to Miss Lizzie Douglas, Redoak, postmarked Woodbury Apr 10; slip 'Poem to Miss Lizzie Douglas From Mollie Woodbury, Tenn.'",APR 10,,05-057-P01; 05-057-P02,"Miss Lizzie Douglas. / Redoak / Texas / WOODBURY APR 10 TEN. ... Poem to / Miss Lizzie Douglas / From Mollie / Woodbury, Tenn."
event,Mollie; Cousin George,Manuscript of 'Just before the battle Mother' written by request for Cousin George,Dec 9th /66,1866-12-09,05-058-P02; 05-059-P03,Just before the battle Mother / I am thinking most of you ... Written by request Dec 9th /66 For Cousin George / Mollie
event,George Douglas,"Slip: 'Concerning Uncle George Douglas – his work at Sylvanna Church – his death Sept. 23, 1923'","Sept. 23, 1923",1923-09-23,05-060-P01,"Concerning Uncle / George Douglas / – his work at / Sylvanna Church / – his death / Sept. 23, 1923"
event,George Douglas,Continued his labors with the Church at Sylvana until his death 23 Sept 1923; opposed the Sunday School but did not withdraw; died in Georgia,Sept 23 1923,1923-09-23,05-062-P01,My father continued his labors with the Church at Sylvana until his death Sept 23 1923. Though opposing the Sunday School he did not withdraw from the congregation but endeavored to present the truth as he understood it. His health became impaired and he realized that his work was done. He died in Ga and
event,George Douglas; Sylvana congregation,Brought back and buried from the Church; strong character; after his death the congregation ceased to meet,after 1923,,05-061-P01; 05-061-P02,"was brought back and buried from the Church that had been his life work. / He was a strong character and was [[inserted: in full sense an excellent leader]] While in his prime to direct the affairs of the Church, he was unable to train anyone to take his place and after his death the congregation was torn by dissensions and after a few years ceased to consistently meet"
event,Poem,"'In Answer to the Author of ""Georgie""' (manuscript verse)",,,05-063-P01; 05-066-P01; 05-066-P02,"In answer to the Author of ""Georgie."" / I seek not for devoted dears.— / ""Platonic friendship at my years,"" / Most surely will suffice"
event,Song ballad,"'Swinging in the lane', docketed Jan the 22, 1881; Rosa Nell; Aunt Jemima Brown","Jan the 22, 1881",1881-01-22,05-069-P01; 05-069-P02; 05-070-P02,"Song Ballad / Jan the 22, / 1881. / Swinging in the lane. ... Was introduced to Rosa Nell / By Aunt Jemima Brown"
money,Geo. Douglas; A. Trippet & Son,Cotton sale receipt at Waxahachie; weighing 15; cash to balance $[[26.75?]]; slip attributes to Geo. Douglas,Oct [[14?]] 1874,1874-10-14,05-073-P01; 05-073-P02; 05-073-P03,"Waxahachie, Texas, Oct [[14?]] 1874 / A. TRIPPET & SON Bought of / [[blank]] Bales Cotton, / [[illegible]] lbs. at [[6½?]] ... Cash to balance, $[[26.75?]] ... Receipt of sale of cotton / bought by A Trippet & / Son from Geo. Douglas"
event,Sarah E. Douglas,"Essay 'The beauty of female culture' signed Sarah E. Douglas, April [[21?]]",April [[21?]],,05-080-P01; 05-081-P01; 05-081-P06,The Beauty of Culture / by Sarah Douglas ... There is nothing more important than the cultivation of our minds ... Sarah E. Douglas / April [[21?]].
event,Emma Bell,Composition 'Parting from Friends' marked 'Very good',,,05-083-P01; 05-084-P01; 05-084-P02,"Composition / ""Parting from Friends"" / by Emma Bell ... O! how sad we feel when we part from our dear friends! ... Very good"
relationship,Mary Douglas; Cynthia Orr; Rebecca Goodloe; Jacob Wright; Rebecca T. Wright (Alexander); Mary Wright,Slip: Mrs (Mary) Douglas and Cynthia Orr are daughters of Rebecca Goodloe; Jacob Wright brother of Rebecca Wright Goodloe; Jacob Wright and wife were cousins; Rebecca Alexander their daughter,"Dec. 6, 1883",1883-12-06,05-086-P01,"To Mrs. (Mary) Douglas & / Cynthia Orr – daughters / of Rebecca Goodloe / from / B. F. Lillard / Murfreesboro, Tenn. / Dec. 6, 1883 / [Regarding decision of Circuit Court judge in suit of nephews & neices of Mrs. Alexander, / (Rebecca T. Wright) / Jacob Wright, brother of Rebecca Wright Goodloe.] / – Decree appealed by Mr. Lillard – / – Shows Jacob Wright & Wife were cousins – / Rebecca Alexander their daughter, being equal heir of the father & mother of Mary Wright."
place,Mrs. Douglas; Mrs. Orr,"Addressed at Ferris, Texas; envelope postmarked Ferris Dec 8 1883",Dec. 6–1883,1883-12-06,05-086-P02; 05-087-P01,"FERRIS, / DEC / 8 / 1883 / TEX. ... Mrs. Douglas and Mrs. Orr. / Ferris, Texas."
event,Chancellor Burton,Sick and died during the term; a Circuit Court judge decided the case,Dec 1883,1883-12,05-087-P01,"During the Term of the Court, Chancellor Burton was sick and died. While he was sick a Circuit Court Judge held his Court and decided the case as to who the land goes to, but seemed very much tangled in the case."
land,Rebecca Alexander estate,"180 acres from her father Jacob Wright to his ~40 nephews and nieces (17 living, 23 dead); the McGlothlin tract of 230/235 acres from her mother 'ascends' to heirs of Mary Wright; parents were cousins",Dec 1883,1883-12,05-087-P02; 05-088-P01,"He decided that 180 Acres of the land that descended to Mrs. Alexander from her father, Jacob Wright, goes to or is inherited by the nephews and nieces of Jacob Wright ... as he had about forty nephews and nieces, seventeen of whom are living, and about twenty three dead ... As to the McGlothlin tract of 230 Acres, descended to Mrs. Alexander from her mother ... the father and mother being cousins"
event,B. F. Lillard,Appealed to the Supreme Court; 'Per Ida',Dec 6 1883,1883-12-06,05-088-P01,"I appealed from the whole decree to the Supreme Court as also did the McGlothlin claimants ... Very Respectfully, / B. F. Lillard. / Per Ida."
land,Mary Douglas; B. F. Lillard,"Draft power of attorney: Mary Douglas of Ellis County appoints Lillard to demand her distributive share in the real estate descended to her from Mrs Rebecca T. Alexander, late of Rutherford County, Tennessee",[[blank]] 1883,1883,05-090-P01,"I Mrs Mary Douglas of said County and State do hereby nominate and appoint B. F. Lillard of Murfreesboro Tenn, my true and lawful Attorney ... the distributive share or interest in the real estate that descended to me from Mrs Rebecca T. Alexander, late of Rutherford County and State of Tennessee, now deceased"
relationship,M. M. Dill; George Douglas; Cynthia Orr; Docia Bivins; Isaac N. Wright; Mrs. Nance; Mandy,Dill ('Your Cousin') writes to George at Ferris; heirs named,Feby 26th 1883,1883-02-26,05-092-P01; 05-093-P02,"Mr Lillard our Attorney has shown me a letter from you in answer to two letters that I requested him to write to your Mother and Cousin Cynthia Orr ... I have conferred with Cousin Docia Bivins, she stated that she was going to leave her part, I have also conferred with Isaac N. Wright ... he has recd a letter from Mrs Nance ... Isaac Wright recd a letter from his sister Mandy ... Your Cousin / M M Dill."
land,Rebecca Alexander estate,640 acre tract sold by Alexander & wife; the River Tract & the Arkansas lands,Feb 1883,1883-02,05-093-P02,We will not at present take any steps against the 640 Acre Tract of land sold by Alexander & wife ... The River Tract & the Arkansas lands will no doubt be surrendered up
relationship,Mary Douglas; Rebecca Alexander; Jacob Wright,"Lillard: Mrs Alexander was 'your Cousin ... daughter of your uncle Jacob Wright'; heirs are first cousins: 3 Goodloe, 3 Dill, 2 Brasher, 6 Thompson Wright",Dec. 30/82,1882-12-30,05-095-P01,"I suppose that you have heard of the death of your Cousin Mrs Alexander daughter of your uncle Jacob Wright. She did not make a will and her real estate descends to her next of kin consisting of her first Cousins now living being 3 of the Goodloe family, three of the Dill, two of the Brasher and six of the Thompson Wright family"
money,Rebecca Alexander estate,680 acres assessed at $8500; probably 300 acres in Arkansas; 640 acres sold for $6400 on 1-3 years' credit; conveyance defective,Dec 1882; Feby 11th 1883,1882-12-30; 1883-02-11,05-095-P01; 05-096-P02; 05-096-P03,the real estate consisting of 680 Acres of land assessed at $8500.00 but of course land generally brings double the assessment ... probably 300 Acres in Ark. ... The 640 Acres sold as above referred to was sold in order to convert the property as I have been informed for $6400.00 rather a depreciated price on one two and three years credit ... The conveyance is defective
place,Mary Douglas,Post office corrected from Ennis to Ferris; letter returned after 28 days,Feby 11th 1883,1883-02-11,05-095-P01; 05-096-P02,[[deleted: Ennis]] [[inserted: Ferris]] Texas ... The above letter was mailed and directed to Ennis and after 28 days returned to me. I now learn that your Post Office is Ferris
event,B. F. Lillard; George Douglas,George's letter of 15 March 1883 questioned Lillard; Lillard's defence; twenty-five years at the bar; Judge Peter Turney of Winchester; Judge Burton; John Woods; Col. N. D. Robinson; whisky prescribed for neuralgic rheumatism from army wounds,March 22nd 1883,1883-03-22,05-098-P01; 05-100-P01; 05-102-P01; 05-102-P02,Your letter of March 15th has been recd. I think that you have been under a misapprehension about several things ... I have referred you to Judge Peter Turney of Winchester Tenn ... my Law Diploma was signed 25 years ago by Judges Green & Caruthers of Cumberland University ... whisky for neuralgic rheumatism ... caused from Army wounds
person,Albert Jetton,'your Cousin Albert Jetton whose store is within 75-ft of that Law Office'; recommends Lillard as 'Your Nephew',Feb 12th /83; Feb 14th /83,1883-02-12; 1883-02-14,05-103-P01; 05-110-P01; 05-117-P02,Why did not Mr. Alexander bring into the Consultation your Cousin Albert Jetton whose store is within 75-ft of that Law Office ... I take pleasure in recommending him to you / Your Nephew Albert Jetton ... I do not advise a Suit but only recommend Mr Lillard as a Lawyer / Yours A Jetton
land,D Travis; A. M. Alexander; D. M. McKnight,"640 acre tract conveyed to D Travis for $6400 in three payments Aug 1882-84; acknowledged 15 July 1881; privy examination by McKnight, a half brother of A. M. Alexander; registered Sept 1882; Rebecca Alexander died 11 Nov 1882",2–26–83,1883-02-26,05-107-P01,"The 640 Acre Tract of land was conveyed by deed to D Travis for the Consideration of $6400.00 to be paid in three equal payments Augst 1882, 83, 84 – It was not dated but that is obviated by the date of the acknowledgement before the Clerk July 15–1881, by A. M. Alexander – on the same day a Commission was issued by the Clerk to D. M. McKnight a Justice of the Peace and a half brother of A. M. Alexander to take the Privy Examination of Mrs Alexander ... This deed was registered Sept, 1882, and she died Nov, 11 1882,"
relationship,Lewis Jetton; Mary Douglas; Cynthia Orr,"Envelope from Lewis Jetton to Mrs Mary Douglas or Cynthia Orr, Redoake; slip calls them sisters-in-law; letter addressed 'My Sisters [[Cinty?]] & Mary'",Feb 12th 1883,1883-02-12,05-105-P01; 05-105-P02; 05-111-P01; 05-112-P03,"From Lewis Jetton / Mrs Mary Douglas / or Cynthia Orr / Redoake / Texas ... To Mrs. Douglas & Cynthia Orr (sisters-in law of / From Lewis Jetton / Feb. 12, 1883 ... My Sisters [[Cinty?]] & Mary – ... L Jetton / The above you must keep in secrecy in the family"
event,L Jetton; Dr. Dickson; A. M. Alexander,Lillard 'too fast'; Alexander wants no suit; 'A. M. A will do right',Feb 12th 1883,1883-02-12,05-111-P01; 05-111-P02; 05-113-P01,I learn from Dr. Dickson to day that Mr Alexander dont want any Suit that if there be no will he will do any thing that is right ... I believe A. M. A will do right – he has always been a Cleaver Man
event,J. N. Spence; Mrs Bivins; A. M. Alexander,"Spence, son-in-law of Mrs Bivins: Alexander will give up the lands if no will; Rebecca's father on his death bed said he made no will","[15th, 1883]",1883,05-115-P01; 05-115-P02,"P. S. J. N. Spence the soninlaw of Mrs Bivins informed me that Mr A. M. Alexander about two weeks ago said that if they found no will that he did not want any lawsuit ... she said that her Father on his death bed told her that he made no will, and asked her to promise the same and that she said that she had so promised and that she did not want Mr Alexander's kin to have her property"
relationship,L. A. Jetton; Susanna (Sue) Bell,"Slip: to Mrs. Susanna (Sue) Bell from Cousin L. A. Jetton (Lewis?), Readyville, Tenn.; tells of death of Polly Wright","Feb. 20, 1870",1870-02-20,05-118-P01,"To Mrs. Susanna (Sue) / Bell / from Cousin / L. A. Jetton / (Lewis?) / Readyville, Tenn. / Feb. 20, 1870 / (Tells of death of Polly Wright)"
event,L A Jetton,Very sick; Dr. Briges; Aunt Clark; Legislature to adjourn by 15 March; Sallie Wieden has had three [[Divorces?]]; John's wife has another boy,Feb 20th 1870,1870-02-20,05-119-P01; 05-119-P02; 05-120-P01,Dr. Briges who Attend me during my sickness Thinks My illness was brought on by cold ... Aunt Clark has been with us several days ... It is Thought The Legislature will Adjurn by the 15th of march ... Sallie Wieden ... She tells us that She has had Three [[Divorces?]] but is as lively as a cricket ... Johns wife has another fine boy Three weeks old
event,Old Aunt Polly Wright,Died about two weeks before 20 Feb 1870,about two weeks ago,1870-02,05-120-P01,Old Aunt Polly Wright died about two weeks ago She died I suppose with old age
relationship,Sarah (Tullison); Smith (Popley); [[Temith?]]; Marier ([[Darnum?]] [[Vaught?]]); [[Shonce?]]; Mary; Joseph; Mr Akers; Aunt Jane,'The girls' and whom they married,Feb 1870,1870-02,05-120-P02; 05-121-P01,Sarah married a drunken trifling fellow by the name of Tullison They have been married fifteen years and have eight living children ... Smith Married a man name Popley ... Marier is the looking and the smartest one of the family She married [[Darnum?]] [[Vaught?]] he was killed shortly after we came here in a drunken spree ... Mary is still Single ... Joseph is married and lives in the city ... Mr Akers Says about his [[Soninlaw?]] he Says The devil owed him a grudge and has paid him off in Soninlaws ... Aunt Jane also looks very old
person,Pap; Ellen; Cousin Ellen,L A Jetton's Pap complains of poverty; love to Ellen,Feb 1870,1870-02,05-121-P01,Pap is always Complaining about his poverty and That he has a hard way to get along and he is afraid he will come to Starvation ... tell Ellen to write to Mary Give my love to Cousin Ellen
relationship,Jessie Douglas; George & Lizzie Douglas; Earl Stuart Douglas,"Slip: to George & Lizzie from Jessie Douglas, Cross Creeks, Tex., announcing birth of Earl Stuart Douglas","Aug. 30, 1869",1869-08-30,05-122-P01,"To George & Lizzie / Douglas / from / Jessie Douglas / Cross Creeks, Tex. / Aug. 30, 1869 / Announces birth of / Earl Stuart Douglas"
event,Jesse Douglas,"Cross Creek, Travis County; flood; sickness; tried to rent nearer Austin; dissatisfied with the Mountains; had determined to move to Arkansas but mother-in-law's tears prevent",August the 30th 1869,1869-08-30,05-123-P01; 05-123-P02; 05-123-P04,"Cross Creek Travis Texas / August the 30th 1869 ... I was fully determined to move to Arkansas this fall. But I must Confess that the grief and tears of a good Old motherinlaw is a preventative, at least as long as She lives and possibly She may out live Me."
event,Earl Stewart Douglas,Born 2 Aug 1869 weighing ten pounds; [[Ma?]] up two weeks,2 August 1869,1869-08-02,05-124-P02,"tell Tom and Laura that Dubly Beats Me, But I must say that on the second of August Earl Stewart Douglas made his appearance Weighing ten pounds he is growing finely and [[Ma?]] has been up two weeks doing her work."
money,Jesse Douglas,"Crops 1869: grass total loss, corn half rotten, cotton a third; 300 bushels sound corn; will make about 1 bag of cotton; McCluer picked 5-6 thousand off eight acres",Sept the 15th 1869,1869-09-15,05-124-P01; 05-124-P03; 05-125-P03,"My grass was a total loss; corn ½ rotten my Cotton I thought at first was not injured But time tells it, I think maybe one third of a crop ... Will make or have 300 hundred Bushels sound Corn to My Share ... I fear from the progress of my Cotton in the way of its opening I wont make more than 1 Bag. McCluer off of about Eight Acres has already picked Between 5 and 6 Thousand"
person,Sarah,'tell Sarah I am coming to see her this Winter or fall',Sept 1869,1869-09,05-125-P06,tell Sarah I am coming to see her this Winter or fall
relationship,Jesse Douglas; Sarah (Sal),"Slip: to Daughter Sarah (Sal) from Jesse Douglas, Alexander, Texas","June 15, 1884",1884-06-15,05-126-P01,"To Daughter Sarah / (Sal) / from / Jesse Douglas / Alexander, Texas / June 15, 1884"
event,Sarah Douglas; J C Roe; Andrew Turnbow,"School at Alexander: 18 scholars subscribed, 20 sure; Mr Roe wants her to begin 7 July; barbecue at Alexander and Carlton on the 4th",June the 15th 84,1884-06-15,05-127-P02; 05-128-P01; 05-128-P02,the Hon J C Roe has got 18 Subscribed scollars with promise of Better ... Andrew Turnbow has returned from Washington ... I think you might say 20 shure ... Mr Roe is anxious you would come and commence the 7th July. ... There will be a Barbacue at Alexander also 1 at Carlton on ! the 4th
relationship,Jesse Douglas; George Douglas,"Slip: to George Douglas from Jesse Douglas, Cross Creek, Travis Co.","Nov. 28, 1869",1869-11-28,05-129-P01,"To George Douglas / from / Jesse Douglas / Cross Creek / Travis Co. / Nov. 28, 1869"
event,Jesse Douglas; Nancy; Eli; Earl,Sickness prevented a visit to Ellis; Nancy taken with congestion; Eli fever; Earl [cough],November the 28th 1869,1869-11-28,05-130-P03,It was My intention all the time to come to Ellis this fall on a visit But when I was ready I was sick. then [[lost: torn edge]] My recovery Nancy was taken with Bordering on Congestion. previous to [[lost: torn edge]] Eli had a spell of fever. Earl has [[lost: torn edge]]ough
money,Jesse Douglas,Crop one bale of 434 lbs which paid debts and left one dollar; about thirty dollars behind after medicine and doctor's bill,Nov 1869,1869-11,05-130-P04,"Well My [[lost: torn edge]]rop amounted to one Bale [[lost: torn edge]] 434 lbs which paid My debts [[lost: torn edge]] Left me one dollar, the sale and [[lost: torn edge]]ttlement previous to sickness — [[lost: torn edge]] medicine & Dr Bill since Leaves Me about thirty dollars Behind, that I will be able to settle with the sale of Pork this winter"
relationship,Jesse Douglas; the Old Stewarts,Cannot move during 'the Old Stewarts life time'; George to 'make your figures In regard the Old Farm',Nov 1869,1869-11,05-131-P02,It is out of the question Me to move during the Old Stewarts life time I think She would go crasy. She is old and frail in body and mind ... As I Cant Mo[[lost: torn edge]] from this Country I will Leave [[lost: torn edge]] to make your figures In regard the Old Farm
land,Jesse Douglas; Sarah,"320 acres on Kickapoo Creek, Hood County, for Sarah's benefit, the lower east half of the 640-acre G C Briscoe headright, 6½ miles from the Brazos; cost his horse Billy Capshaw",Nov 1869,1869-11,05-132-P01; 05-132-P02; 05-132-P03; 05-132-P04,Well I have made an investment in the way of Land for Sarahs Benefit 320 Acres lying on Kickapoo Creek in Hood County the Title to be transfered about the 20th of this month ... the above Costing Me My Noble Animal Billy Capshaw — doubt Mcdonalds [[deleted: illegible]] Selim Superior ... [[lost: torn edge]]e Land traded for is the Lower East half of 640 Survey known as G C Briscoes headright ... the Survey is 6½ miles from the Brazos
person,Eli; Earl; Henry; Drip Springs,Eli weighs 52 lbs; Earl can almost sit alone; letter directed to Henry 'as he is most Central'; address Drip Springs; election at hand,Nov 1869,1869-11,05-133-P05; 05-133-P06,Eli weighs 52 lbs / I will direct this to Henry as he is most Central / you will direct to Drip Springs ... I expect to mail this in Austin if nothing happens as the Election is at hand
land,Heirs of Mary Douglas; Lizzie Douglas,Slip: warranty deed of heirs and heirs in law conveying the estate of Mary Douglas to Lizzie Douglas,Oct. 8 - 1886,1886-10-08,05-134-P01,Warrenty deed / of heirs & heirs in / law convey to / Lizzie Douglas / the estate of / Mary Douglas / Oct. 8 - 1886
land,Heirs of Mary Douglas; Lizzie Douglas,"Deed in consideration of services rendered to Mary Douglas during her last years of life: part of the A. J. Porter 1280-acre survey, beginning at its SW corner, thirty acres more or less","October the 8, A.D. 1886",1886-10-08,05-136-P02; 05-135-P01; 05-135-P02,"we, the undersigned citizens of the State aforesaid, and heirs at law to the Estate of Mary Douglas Deceased ... for and in consideration of Services rendered to the Said Mary Douglas during her last years of life by Lizzie Douglas ... A certain tract or parcel of land being a part of a 1280 acre Survey patented in the name of A. J. Porter. / Beginning at the South West corner of the Said A. J. Porter Survey ... Containing in all thirty acres more or less"
relationship,Signers of the 1886 deed,"George Douglas, Warren Douglas, Laura Robison, Geo. Stanford, Ellen Stanford, R. C. Farrar, M. D. Farrar, W. E. Bell, Johnnie Bell, H. Headrick, Sarah G. Headrick, [[Thomas J. Robison?]], H Douglas",Oct 8 1886,1886-10-08,05-135-P03,"George Douglas / Warren Douglas / Laura Robison / Geo. Stanford, Ellen [[obscured: blot]] Stanford. / R. C. Farrar. M. D. Farrar / W. E. Bell. Johnnie Bell. / H. Headrick    Sarah G. Headrick. / [[Thomas J. Robison?]] / [[inserted: H Douglas]]"
relationship,Thomas J Robison; Laura Robison,"Acknowledged in Ventura County, California before James McKee",14th day of October A. D. 1893,1893-10-14,05-137-P02; 05-137-P03; 05-137-P04,"State of [[deleted: Texas]] [[inserted: California]] / County of Ventura / BEFORE ME, James McKee a Notary Public ... personally appeared Thomas J Robison and Laura Robison his wife ... this 14th day of October A. D. 1893."
place,Lizzie Douglas,"Envelope 'For Record' from Box 448 Oklahoma, Okla. to Miss Lizzie Douglas, Ferris, Ellis Co.; postmark Oklahoma Mar 25 1893; slip: warranty deed July 5 1892, filed Jan. 4 1894",MAR 25 1893,1893-03-25,05-138-P01; 05-138-P02,"Return to Box 448 / OKLAHOMA, Okla. ... Miss Lizzie Douglas / Ferris, / Texas / Ellis Co. ... OKLAHOMA / MAR / 25 / A / 1893 ... Warranty deed / of undersigned / heirs-in-law / Convey to / Lizzie Douglas / the estate of / Mary Douglas / July 5, 1892 / Filed Jan. [[deleted: 24]] 4, 1894"
relationship,E L Winiford; L. N. Wise,"E L Winiford acknowledged in Oklahoma County, Oklahoma Territory",25th of March 1893,1893-03-25,05-139-P02,This day personally appeared E L Winiford of said County and Territory ... This 25th of March 1893 / L. N. Wise / Notary Public
land,McDaniel et al to Lizzie Douglas,Filed 4 Jan 1894 by J. R. Champion County Clerk; recorded Book 46 page 358; $1.25,"January 4, 1894",1894-01-04,05-139-P03,"McDaniel Et al / Deed / TO / Lizzie Douglas / Filed for record January 4, 1894 / at 12:30 o'clock ... J. R. Champion County Clerk. ... Recorded January 4, 1894 / in Ellis County, / Record of Deeds / Book 46, Page 358."
land,Heirs of Mary Douglas; Lizzie Douglas,"Warranty deed for $1 and services: thirty acres, part of the A J Porter 1280 acre survey, about 12 miles N E of Waxahachie",4th day of June A. D. 1891,1891-06-04,05-140-P03; 05-140-P04; 05-141-P01; 05-141-P03,for and in consideration of the sum of one DOLLARS to us in hand paid by Lizzie Douglas ... and The further Consideration of Many Services rendered to the Said Mary Douglas during her last years of life ... situated in Ellis County Texas and about 12 Miles N E of The Town of Waxahachie and a part of The A J Porter 1280 acre Survey ... Containing in all Thirty acres of land More or less ... this the 4th day of June A. D. 1891.
relationship,Nancy Douglas; Earl Douglas; J A McDaniel; Emily J. Daniel (McDaniel); Ora J Duff; W. D. (Davis) Duff; E L Winiford,Signers of the 1891 deed as heirs at law of Mary Douglas,June 4 1891,1891-06-04,05-141-P04; 05-142-P01,Nancy Douglas / Earl Douglas / J A McDaniel / Emily J. Daniel / Ora J Duff. W. D. Duff / E L Winiford ... personally appeared James McDaniel and wife Emily McDaniel and Davis Duff and wife Ora Duff
place,Nancy Douglas; Earl Douglas,Acknowledged in Erath County before J. S. Watson,4th day of June A. D. 1891,1891-06-04,05-142-P02,"COUNTY OF Erath / BEFORE ME, J. S. Watson a Justice of the Peace ... personally appeared Mrs. Nancy Douglas and Earl Douglas ... this 4th day of June A. D. 1891"
land,H. D. Winniford et al to Lizzie Douglas,"Deed filed 5 May 1891 by E P Hawkins, recorded Deed Record Book 62 page 590; deputy A. Lasswell",May 5th 1891,1891-05-05,05-143-P01; 05-144-P02; 05-144-P03,H. D. Winniford etal / Deed / To / Lizzie Douglas / Filed for Record May 5th 1891 at 10½ Oclock AM / E P Hawkins clerk ... in Deed Record Book 62 page 590 &c ... A. Lasswell Deputy.
land,E L. Winniford & wife Millie; Haller Roper & wife Mary H Roper; H. D. Winniford; John McCrary & wife Alice E McCrary; Lucy I Winniford; Rebecca Winniford; Lizzie Douglas,"Heirs of Lucy I Winniford sell to Lizzie Douglas for $160 her sixteen acres, an undivided one-fifth of an 80-acre survey in the A. J. Porter 1280, which accrued to Lucy by deed from Mary Douglas jointly with them as heirs of Rebecca Winniford",October the 13th A D 1890,1890-10-13,05-145-P02; 05-146-P02,"we E L. Winniford & wife, Millie Winniford of Oklahoma Territy, Haller Roper & wife Mary H Roper & H. D. Winniford of Navarro County, Texas, John McCrary & wife Alice E McCrary of Floyd County Texas, (as heirs at law to the estate of Lucy I Winniford deceased) late of Ellis county Texas, for & in consideration of the sum of One hundred & sixty $160.00 Dollars to us in hand paid by Lizzie Douglas ... sixteen (16) acres more or less, being an undivided one fifth (⅕) interest in & to an Eighty acre Survey, a part of a 1280 acre survey patented in the name of A. J. Porter situated in Ellis county Texas, & accrued to the said Lucy I Winniford by deed from Mary Douglas jointly with us as heirs of Rebecca Winniford"
land,Eighty acre Winniford survey,Beginning at the NW corner of the Porter 1280; N 60 E 1344 varas; S 30 E to Cottonwood branch 1030 varas; S 60 W 1369 varas; N 30 W 336 varas,1890,1890,05-145-P03,"Beginning at the N W corner of the Porter 1280 survey a stake from which an Elm brs N. 37°. W 65/10 vars. Thence N. 60° E 1344 varas ... Thence S. 30° E to middle of Cottonwood branch 1030 varas ... Thence S 60° W 1369 varas a stake in W line of the said A J Porter survey, Thence N. 30° W 336 varas to the Beginning, containing in all Eighty acres of land more or less"
place,Walter Roper; Mary Roper; A. O. Walker,"Acknowledged in Navarro County before A. O. Walker, Clerk County Court",2nd day of Jany A. D. 1891,1891-01-02,05-147-P02,"personally appeared Walter Roper and Mary Roper wife of Walter Roper ... this 2nd day of Jany A. D. 1891 / A. O. Walker / Clerk County Court Navarro Co., Texas."
place,John McCrary; Alice E. McCrary; A D White,Acknowledged in Floyd County before A D White J. P.,4 day of March A. D. 1891,1891-03-04,05-147-P03; 05-148-P01,County of Floyd / BEFORE ME A D White J. P. & Ex-officio N. P. ... personally appeared John McCrary ... this 4 day of March A. D. 1891
place,E L. Winniford; Millie Winniford,"Acknowledged in Oklahoma County, Oklahoma Territory before [[Raept Sudris?]]",Fourth Day of April A D 1891,1891-04-04,05-149-P02; 05-149-P03,Oklahoma Territory } / Oklahoma County } ss / Before me [[Raept Sudris?]] a notary Public ... personally appeared E L. Winniford & Millie Winniford wife of E L Winniford ... this Fourth Day of April A D 1891
land,Estate of N. L. Douglas; Mary Douglas,"Inventory given by Mary Douglas, relict: 640 acres of the A. J. Porter 1280-acre survey on Subletts creek; 94 acres in cultivation at $15 = $1410; 546 unimproved at $5 = $2730; 9 horses $265; 20 cattle $120; 14 hogs $[[73.00?]]; 20 bee hives $40; tools; sworn 5 Oct 1874 before Wm Hancock J.P.; appraisers E. A. Norman, W R Duff",October 5th AD 1874,1874-10-05,05-151-P01; 05-151-P02; 05-151-P03; 05-151-P04,Inventory of the Estate of N. L. Douglas deceased as given by Mary Douglas relict of deceased / 640 acres of land a part of the A. J. Porter 1280 acre Survey located on Subletts creek Ellis co Texas ... 94 acres of said land in cultivation worth $15.00 pr acre | $1410.00 / 546 acres unimproved worth $5.00 per acre | 2730.00 / 9 head of horses worth | 265.00 / 20 head of cattle worth | 120.00 / 14 head of hogs worth | [[73.00?]] / 20 Bee Hives worth | 40.00 ... Subscribed and Sworn to Before Me October 5th AD 1874 / Wm Hancock J. P. E C / Texas Precinct No 3 / Appraisers / E. A. Norman / W R Duff
land,A. J. Porter survey,Patented to A. J. Porter on 18 June 1849 (second inventory),18th day of June 1849,1849-06-18,05-153-P02,"640 acres of land, a part of the A. J. Porter 1280 acre survey, situated on Subletts creek Ellis co Tex and pattented to the Said A. J. Porter on the 18th day of June 1849."
